Date,Month,Year,Holidays_Count,Days,PM2.5,PM10,NO2,SO2,CO,Ozone,AQI,DateTime,Season,IsWeekend,DayName,AvgPollution,MaxPollution,MinPollution,StdPollution,AQI_Category
1,1,2021,0,5,408.8,442.42,160.61,12.95,2.77,43.19,462,2021-01-01,Winter,0,Friday,178.45666666666668,442.42,2.77,199.8041684917176,Severe
2,1,2021,0,6,404.04,561.95,52.85,5.18,2.6,16.43,482,2021-01-02,Winter,1,Saturday,173.84166666666667,561.95,2.6,245.2783045780174,Severe
3,1,2021,1,7,225.07,239.04,170.95,10.93,1.4,44.29,263,2021-01-03,Winter,1,Sunday,115.27999999999997,239.04,1.4,108.9648453401371,Poor
4,1,2021,0,1,89.55,132.08,153.98,10.42,1.01,49.19,207,2021-01-04,Winter,0,Monday,72.705,153.98,1.01,63.22550078884311,Poor
5,1,2021,0,2,54.06,55.54,122.66,9.7,0.64,48.88,149,2021-01-05,Winter,0,Tuesday,48.57999999999999,122.66,0.64,43.30428708569165,Moderately Polluted
6,1,2021,0,3,155.59,180.14,142.71,10.29,1.18,44.47,252,2021-01-06,Winter,0,Wednesday,89.06333333333335,180.14,1.18,79.39270134380531,Poor
7,1,2021,0,4,118.39,131.18,98.87,9.81,0.73,48.6,288,2021-01-07,Winter,0,Thursday,67.93,131.18,0.73,56.163121352004644,Poor
8,1,2021,0,5,140.05,184.29,102.61,10.34,0.79,43.06,248,2021-01-08,Winter,0,Friday,80.19000000000001,184.29,0.79,74.14135876823407,Poor
9,1,2021,0,6,144.01,192.43,108.43,10.41,0.85,42.23,326,2021-01-09,Winter,1,Saturday,83.06000000000002,192.43,0.85,77.49055658594794,Very Poor
10,1,2021,1,7,131.57,180.38,93.31,9.92,0.69,51.96,284,2021-01-10,Winter,1,Sunday,77.97166666666666,180.38,0.69,70.53453719041946,Poor
11,1,2021,0,1,135.92,208.99,105.07,10.49,0.75,55.06,281,2021-01-11,Winter,0,Monday,86.04666666666667,208.99,0.75,79.88592433380656,Poor
12,1,2021,0,2,172.48,220.74,111.52,10.21,0.91,41.69,329,2021-01-12,Winter,0,Tuesday,92.925,220.74,0.91,90.49309691904682,Very Poor
13,1,2021,0,3,224.71,330.04,125.83,7.27,1.22,31.49,378,2021-01-13,Winter,0,Wednesday,120.09333333333335,330.04,1.22,133.98931579296413,Very Poor
14,1,2021,0,4,345.82,417.42,142.59,8.49,1.75,32.11,422,2021-01-14,Winter,0,Thursday,158.03,417.42,1.75,181.89455527860088,Severe
15,1,2021,0,5,462.62,517.76,178.15,10.11,2.51,25.81,456,2021-01-15,Winter,0,Friday,199.4933333333333,517.76,2.51,234.8698501440035,Severe
16,1,2021,0,6,185.66,230.76,124.98,7.39,1.65,27.53,388,2021-01-16,Winter,1,Saturday,96.32833333333332,230.76,1.65,98.46843380833609,Very Poor
17,1,2021,1,7,222.01,249.23,136.15,9.56,1.4,36.8,342,2021-01-17,Winter,1,Sunday,109.19166666666665,249.23,1.4,109.40889240215654,Very Poor
18,1,2021,0,1,232.16,318.1,210.31,14.92,1.32,28.17,401,2021-01-18,Winter,0,Monday,134.16333333333333,318.1,1.32,135.89353872302638,Severe
19,1,2021,0,2,227.93,299.28,185.82,12.98,1.69,23.02,400,2021-01-19,Winter,0,Tuesday,125.12,299.28,1.69,128.70186183579474,Very Poor
20,1,2021,0,3,159.91,193.78,142.41,7.45,0.88,31.96,322,2021-01-20,Winter,0,Wednesday,89.39833333333333,193.78,0.88,85.47262846471183,Very Poor
21,1,2021,0,4,182.39,243.84,276.46,5.6,1.5,33.7,328,2021-01-21,Winter,0,Thursday,123.91500000000002,276.46,1.5,125.05512860334838,Very Poor
22,1,2021,0,5,310.98,358.0,181.5,4.4,2.29,26.88,412,2021-01-22,Winter,0,Friday,147.34166666666667,358.0,2.29,160.19022971662994,Severe
23,1,2021,0,6,170.36,213.65,143.41,4.06,0.75,34.18,362,2021-01-23,Winter,1,Saturday,94.40166666666664,213.65,0.75,92.68284704661735,Very Poor
24,1,2021,1,7,230.38,287.86,123.99,3.05,0.81,27.77,370,2021-01-24,Winter,1,Sunday,112.30999999999999,287.86,0.81,123.62180956449392,Very Poor
25,1,2021,0,1,186.34,311.67,17.33,6.28,1.25,25.82,345,2021-01-25,Winter,0,Monday,91.44833333333334,311.67,1.25,128.60171125092648,Very Poor
26,1,2021,1,2,207.46,344.53,21.93,9.03,1.34,26.24,369,2021-01-26,Winter,0,Tuesday,101.755,344.53,1.34,142.0344263550214,Very Poor
27,1,2021,0,3,216.71,397.43,34.5,7.94,1.23,24.33,371,2021-01-27,Winter,0,Wednesday,113.69000000000001,397.43,1.23,160.75328164613,Very Poor
28,1,2021,0,4,294.71,496.55,40.31,9.89,1.9,26.13,373,2021-01-28,Winter,0,Thursday,144.915,496.55,1.9,204.8525510458681,Very Poor
29,1,2021,0,5,301.61,396.57,118.81,4.94,2.28,21.55,440,2021-01-29,Winter,0,Friday,140.96,396.57,2.28,169.48619294798027,Severe
30,1,2021,0,6,209.05,306.17,99.31,4.76,1.46,30.8,363,2021-01-30,Winter,1,Saturday,108.59166666666665,306.17,1.46,124.51905579736248,Very Poor
31,1,2021,1,7,222.87,323.33,123.23,4.43,2.06,26.95,368,2021-01-31,Winter,1,Sunday,117.145,323.33,2.06,132.52277053397276,Very Poor
1,2,2021,0,1,285.13,398.91,117.62,4.76,2.09,30.4,400,2021-02-01,Winter,0,Monday,139.81833333333333,398.91,2.09,166.08368799092423,Very Poor
2,2,2021,0,2,304.79,416.62,127.92,6.06,2.5,24.16,408,2021-02-02,Winter,0,Tuesday,147.00833333333333,416.62,2.5,175.37997245029624,Severe
3,2,2021,0,3,209.32,299.0,159.84,3.83,1.92,28.02,367,2021-02-03,Winter,0,Wednesday,116.98833333333333,299.0,1.92,124.45926472812968,Very Poor
4,2,2021,0,4,134.66,170.25,114.15,3.13,1.04,36.53,352,2021-02-04,Winter,0,Thursday,76.62666666666667,170.25,1.04,72.47626333267097,Very Poor
5,2,2021,0,5,68.49,116.65,113.61,3.82,0.72,30.54,142,2021-02-05,Winter,0,Friday,55.63833333333334,116.65,0.72,52.114090768876196,Moderately Polluted
6,2,2021,0,6,131.68,182.92,102.59,5.08,0.85,34.79,261,2021-02-06,Winter,1,Saturday,76.31833333333334,182.92,0.85,74.31554599588613,Poor
7,2,2021,1,7,180.68,241.07,96.85,5.47,1.18,34.4,279,2021-02-07,Winter,1,Sunday,93.27499999999999,241.07,1.18,99.14963373608599,Poor
8,2,2021,0,1,243.78,369.18,108.35,4.32,1.73,30.28,375,2021-02-08,Winter,0,Monday,126.27333333333335,369.18,1.73,150.15398012262833,Very Poor
